Name,fbref
Aaron Cresswell,https://fbref.com/en/players/4f974391/scout/365_m1/Aaron-Cresswell-Scouting-Report
Cesar Azpilicueta,https://fbref.com/en/players/53cad200/scout/365_m1/Cesar-Azpilicueta-Scouting-Report
Kevin De Bruyne,https://fbref.com/en/players/e46012d4/scout/365_m1/Kevin-De-Bruyne-Scouting-Report
Lionel Messi,https://fbref.com/en/players/d70ce98e/scout/365_m1/Lionel-Messi-Scouting-Report
Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/scout/365_m1/Cristiano-Ronaldo-Scouting-Report
Neymar,https://fbref.com/en/players/69384e5d/scout/365_m1/Neymar-Scouting-Report
Virgil van Dijk,https://fbref.com/en/players/e06683ca/scout/365_m1/Virgil-van-Dijk-Scouting-Report
Diogo Dalot,https://fbref.com/en/players/d9565625/scout/365_m1/Diogo-Dalot-Scouting-Report
Theo Hernandez,https://fbref.com/en/players/d4c9725f/scout/365_m1/Theo-Hernandez-Scouting-Report
Eder Militao,https://fbref.com/en/players/2784f898/scout/365_m1/Eder-Militao-Scouting-Report
Bruno Fernandes,https://fbref.com/en/players/507c7bdf/scout/365_m1/Bruno-Fernandes-Scouting-Report
Erling Haaland,https://fbref.com/en/players/1f44ac21/scout/365_m1/Erling-Haaland-Scouting-Report
Kylian Mbappe,https://fbref.com/en/players/42fd9c7f/scout/365_m1/Kylian-Mbappe-Scouting-Report
Krzysztof Piatek,https://fbref.com/en/players/17f3620a/scout/365_m1/Krzysztof-Piatek-Scouting-Report
Lyanco,https://fbref.com/en/players/b5bf1770/scout/365_m1/Lyanco-Scouting-Report
